researcher_name,employee_id,affiliation,rcard_url,rank,project_id,project_title,project_pi,project_inst,project_keywords,final_score,semantic_score,keyword_score
문재원 (JaeWon Moon),10520,정보미디어연구센터,https://rcard.re.kr/detail/KP+poCLmBpMZbYojNK/sjw==,1,NRF-000098,SLADE : Smart Learning Analytics for Digital crimE,Loh Kok Keong Peter,Singapore Institute of Technology,"digital crime, machine learning, analytics, investigation",0.4189,0.5984,0.0000
문재원 (JaeWon Moon),10520,정보미디어연구센터,https://rcard.re.kr/detail/KP+poCLmBpMZbYojNK/sjw==,2,NRF-000362,"Integrative Threat Modeling, Risk Assessment, and Security Control Management for Government Settings",Chen Binbin,Singapore University of Technology and Design,Threat Modeling; Risk Assessment; Security Control Management; IM8 compliance,0.4089,0.5841,0.0000
문재원 (JaeWon Moon),10520,정보미디어연구센터,https://rcard.re.kr/detail/KP+poCLmBpMZbYojNK/sjw==,3,MOE-000826,GAIA: Rethinking Data Center Computation and Communication Design for Green AI,MITRA TULIKA,National University of Singapore,"Green AI, Energy-efficiency, Data Center Architecture, Heterogeneous Computing, Network-coordinated Design, Universal AI Accelerator",0.4086,0.5838,0.0000
문재원 (JaeWon Moon),10520,정보미디어연구센터,https://rcard.re.kr/detail/KP+poCLmBpMZbYojNK/sjw==,4,NRF-000323,Use of Artificial Intelligence (AI) to Detect Cyber Anomalies in Critical Information Infrastructures (CII),tan chee young,ST Engineering Info-Security Pte. Ltd.,Data Access Contact:,0.4081,0.5830,0.0000
문재원 (JaeWon Moon),10520,정보미디어연구센터,https://rcard.re.kr/detail/KP+poCLmBpMZbYojNK/sjw==,5,NRF-RSS2015-003,Embedded Intelligence in new form factors (EINFF) with ultra-energy efficient CMOS technologies to enable the Smart nation infrastructure,Thean Voon Yew,National University of Singapore,Data Access Contact:,0.4069,0.5812,0.0000
문재원 (JaeWon Moon),10520,정보미디어연구센터,https://rcard.re.kr/detail/KP+poCLmBpMZbYojNK/sjw==,6,NRF-000035,National Satellite of Excellence in Mobile Systems Security and Cloud Security,Robert Deng,Singapore Management University,Mobile platform security; user authentication; mobile app security; mobile cloud security,0.3937,0.5624,0.0000
문재원 (JaeWon Moon),10520,정보미디어연구센터,https://rcard.re.kr/detail/KP+poCLmBpMZbYojNK/sjw==,7,NRF-000423,"Towards AIoT – Building Intelligence into Sensing, Networking, and Data Analytics of IoT",Mo Li,Nanyang Technological University,"AIoT, Internet of Things, Sensing, Data analytics",0.3935,0.5621,0.0000
문재원 (JaeWon Moon),10520,정보미디어연구센터,https://rcard.re.kr/detail/KP+poCLmBpMZbYojNK/sjw==,8,MOE-000625,AI-Generated Content: Economic Impacts and Implications for Policy and Regulation,Goh Khim Yong,National University of Singapore,"Generative AI, Digital Media Content, Digital Labor Platform, Structural Demand and Supply Model, Econometric and Causal Impact Evaluation",0.3839,0.5485,0.0000
문재원 (JaeWon Moon),10520,정보미디어연구센터,https://rcard.re.kr/detail/KP+poCLmBpMZbYojNK/sjw==,9,MOE-000234,Protecting Critical AI Assets for Edge Intelligence,Lam Siew Kei,Nanyang Technological University,Security; Confidentiality; Edge Intelligence; Deep Neural Network; Reverse Engineering; FPGA,0.3809,0.5441,0.0000
문재원 (JaeWon Moon),10520,정보미디어연구센터,https://rcard.re.kr/detail/KP+poCLmBpMZbYojNK/sjw==,10,MOH-001745,Addressing barriers to data in ophthalmology with generative artificial intelligence,Wong Wing Kee Damon,Singapore Eye Research Institute,"privacy, ophthalmology, generative artificial intelligence",0.3782,0.5403,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,1,NRF-000423,"Towards AIoT – Building Intelligence into Sensing, Networking, and Data Analytics of IoT",Mo Li,Nanyang Technological University,"AIoT, Internet of Things, Sensing, Data analytics",0.4837,0.6883,0.0061
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,2,MOE-000044,"Massive, Ultra-Reliable, and Low-Latency Wireless Communications",Tony Quek,Singapore University of Technology and Design,Multiple access; massive IoT; ultra-reliable communications; low-latency communications; tactile internet,0.4399,0.6284,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,3,MOE-000352,"IntelliStream: Towards Highly-Optimized, Ultra-Scalable, and Self-Adaptive Data Stream Analytics in the Heterogeneous IoT Environment",Shuhao Zhang,Nanyang Technological University,"Stream Processing; Heterogeneous Architectures; IoT Systems; Query Optimization, Edge Computing; Modular Design",0.4171,0.5959,0.0000
